// Actualizar la lógica de extracción para que el campo 'línea' solo contenga uno de los siguientes valores exactos:
// 'Euro Design 60', 'Euro Design Slide', 'High Design Slide', 'Synego'.
// Si no se encuentra ninguna coincidencia exacta, dejar el campo vacío para revisión manual.
// Lógica mejorada: Buscar la línea real (de las permitidas) en la descripción, y luego extraer el color como el texto entre la línea y la palabra 'Pres'. Si no hay línea real, dejar el campo vacío.
codigo;descripcion;tipo;linea;acabado;color_real;longitud;stock;pedidos
596.290.156;Vierteaguas 3 Euro-Desing 60 Bco-Ant L Pres. 6 m.;Vierteaguas;;Euro-Desing 60 Bco-Ant L;6
596.290.157;Vierteaguas 3 Euro-Desing 60 Bco-B. Brown Pres. 6 m.;Vierteaguas;;Euro-Desing 60 Bco-B. Brown;6
596.290.154;Vierteaguas 3 Euro-Desing 60 Bco-Nog Pres. 6 m.;Vierteaguas;;Euro-Desing 60 Bco-Nog;6
596.290.153;Vierteaguas 3 Euro-Desing 60 Bco-Win Pres. 6 m.;Vierteaguas;;Euro-Desing 60 Bco-Win;6
596.290.112;Vierteaguas 3 Euro-Desing 60 Bco-Mon Pres. 6 m.;Vierteaguas;;Euro-Desing 60 Bco-Mon;6
596.290.130;Vierteaguas 3 Euro-Desing 60 Bco-Negro M. Pres. 6 m.;Vierteaguas;;Euro-Desing 60 Bco-Negro M.;6
596.290.136;Vierteaguas 3 Euro-Desing 60 Bco-Turn Pres. 6 m.;Vierteaguas;;Euro-Desing 60 Bco-Turn;6
596.290.135;Vierteaguas 3 Euro-Desing 60 Bco-Sheff A. Pres. 6 m.;Vierteaguas;;Euro-Desing 60 Bco-Sheff A.;6
596.290.145;Vierteaguas 3 Euro-Desing 60 Bco-Hab Pres. 6 m.;Vierteaguas;;Euro-Desing 60 Bco-Hab;6
596.290.144;Vierteaguas 3 Euro-Desing 60 Bco-Tit Pres. 6 m.;Vierteaguas;;Euro-Desing 60 Bco-Tit;6
596.290.179;Vierteaguas 3 EuroDesign Bco-Ant M  Pres. 6 m.;Vierteaguas;;EuroDesign Bco-Ant M;6
596.290.181;Vierteaguas 3 EuroDesign Bco-Black S  Pres. 6 m.;Vierteaguas;;EuroDesign Bco-Black S;6
596.290.177;Vierteaguas 3 EuroDesign Bco-Nut  Pres. 6 m.;Vierteaguas;;EuroDesign Bco-Nut;6
596.290.178;Vierteaguas 3 EuroDesign Bco-Qrz  Pres. 6 m.;Vierteaguas;;EuroDesign Bco-Qrz;6
269.460.002;Tapa vierteaguas 3 der Euro-Design 60 Blanco Pres. 100u.;Tapa vierteaguas 3 der;Euro-Design 60;der Euro-Design 60 Blanco;
269.460.003;Tapa vierteaguas 3 der Euro-Design 60 Marron Pres. 100u.;Tapa vierteaguas 3 der;Euro-Design 60;der Euro-Design 60 Marron;
269.470.002;Tapa vierteaguas 3 izq Euro-Design 60 Blanco Pres. 100u.;Tapa vierteaguas 3 izq;Euro-Design 60;izq Euro-Design 60 Blanco;
269.470.003;Tapa vierteaguas 3 izq Euro-Design 60 Marron Pres. 100u.;Tapa vierteaguas 3 izq;Euro-Design 60;izq Euro-Design 60 Marron;
227.848.001;Remate inferior puerta calle (Aluminio) Euro-Design 60 Pres. 6 m.;Remate inferior puerta calle (Aluminio);Euro-Design 60;;6
250.395.001;Acople suelo puerta calle (Aluminio) Euro-Design 60 Pres. 6 m.;Acople suelo puerta calle (Aluminio);Euro-Design 60;;6
260.000.004;Umbral 3 (Aluminio) puerta calle Euro-Design 60 Pres. 6 m.;Umbral 3 (Aluminio) puerta calle;Euro-Design 60;;6
229.107.001;Remate para batiente 1 der. Euro-Design 60 Blanco Pres. 50 u.;Remate para batiente 1 der.;Euro-Design 60;der. Euro-Design 60 Blanco;
229.107.002;Remate para batiente 1 der. Euro-Design 60 Marron Pres. 50 u.;Remate para batiente 1 der.;Euro-Design 60;der. Euro-Design 60 Marron;
229.117.001;Remate para batiente 1 izq. Euro-Design 60 Blanco Pres. 50 u.;Remate para batiente 1 izq.;Euro-Design 60;izq. Euro-Design 60 Blanco;
229.117.002;Remate para batiente 1 izq. Euro-Design 60 Marron Pres. 50 u.;Remate para batiente 1 izq.;Euro-Design 60;izq. Euro-Design 60 Marron;
248656,101;Union mecanica travesano 78 Euro-Design 60 Blanco Pres. 100 u.;Union mecanica travesano 78;Euro-Design 60;Euro-Design 60 Blanco;
248.656.002;Union mecanica travesano 78 Euro-Design 60 Marron Pres. 100 u.;Union mecanica travesano 78;Euro-Design 60;Euro-Design 60 Marron;
269.632.004;Remate para umbral 3 der. Euro-Design 60 Gris Pres. 50 u.;Remate para umbral 3 der.;Euro-Design 60;der. Euro-Design 60 Gris;
269.642.004;Remate para umbral 3 izq. Euro-Design 60 Gris Pres. 50 u.;Remate para umbral 3 izq.;Euro-Design 60;izq. Euro-Design 60 Gris;
351.164.002;Galce/Soporte de taco acristalar Euro-Design 60 Gris Pres. 1000 u.;Galce/Soporte de taco acristalar;Euro-Design 60;Gris;
954.205.002;Kit union esquina soldable Euro-Design 60 Pres. 1 u.;Kit union esquina soldable;Euro-Design 60;;
255.377.001;Tornillo M6 x 80 mm DIN 912(ISO 4762) Pres. 50 u.;Tornillo M;;;80
258.546.003;Perno 64 x 12 mm Pres.50 u.;Perno;;x 12 mm;12
337.004.001;Kit pivotante puerta derecha Euro-Design 60 Pres. 1 u.- PRECIO NETO;Kit pivotante puerta derecha;Euro-Design 60;;
337.005.001;Kit pivotante puerta izquierda Euro-Design 60 Pres. 1 u.- PRECIO NETO;Kit pivotante puerta izquierda;Euro-Design 60;;
331.135.001;Junta de cepillo (tipo felpa) 4,8 x 9 mm Panorama Swing Design Gris Pres. 100 m.;Junta de cepillo (tipo felpa);;x 9 mm Panorama Swing Design Gris;9
246.834.001;Junta de cepillo (tipo felpa) 6,7 x 12 mm PE SYNEGO Gris Pres. 100 m.;Junta de cepillo (tipo felpa);;x 12 mm PE SYNEGO Gris;12
866.200.001;Junta para perfil de batiente 1 Panorama Swing Design Gris Pres. m.;Junta para perfil de batiente;;Panorama Swing Design Gris;.
865.070.002;Junta inferior de puerta calle Euro-Design 60 Pres. 50 m.;Junta inferior de puerta calle;Euro-Design 60;;50
865.980.001;Junta tope Euro-Design 60 Negro Pres. 4 u.;Junta tope;Euro-Design 60;Negro;
251.507.001;Plantilla para perforado Hoja Z98 puerta calle Euro-Design 60 Pres. 1 u.;Plantilla para perforado Hoja Z98 puerta calle;Euro-Design 60;puerta calle Euro-Design 60;
265.993.002;Plantilla perforado marco 64, para montaje umbral 3 Aluminio Pres. 1 u.;Plantilla perforado marco;;Aluminio;
500.013.100;Marco 2 Euro-Design Slide Blanco Pres. 5,8 m.;Marco;;Euro-Design Slide Blanco;5.8
591.013.076;Marco 2 Euro-Design Slide Mar-Rob/Rob Pres. 5,8 m.;Marco;;Euro-Design Slide Mar-Rob/Rob;5.8
591.013.065;Marco 2 Euro-Design Slide Bco-Bco/Rob Pres. 5,8 m.;Marco;;Euro-Design Slide Bco-Bco/Rob;5.8
591.013.066;Marco 2 Euro-Design Slide Bco-Rob/Bco Pres. 5,8 m.;Marco;;Euro-Design Slide Bco-Rob/Bco;5.8
591.013.062;Marco 2 Euro-Design Slide Mar-Nog/Nog Pres. 5,8 m.;Marco;;Euro-Design Slide Mar-Nog/Nog;5.8
591.013.063;Marco 2 Euro-Design Slide Bco-Bco/Nog Pres. 5,8 m.;Marco;;Euro-Design Slide Bco-Bco/Nog;5.8
591.013.064;Marco 2 Euro-Design Slide Bco-Nog/Bco Pres. 5,8 m.;Marco;;Euro-Design Slide Bco-Nog/Bco;5.8
591.013.067;Marco 2 Euro-Design Slide Mar-Ant L/Ant L Pres. 5,8 m.;Marco;;Euro-Design Slide Mar-Ant L/Ant L;5.8
591.013.068;Marco 2 Euro-Design Slide Bco-Bco/Ant LPres. 5,8 m.;Marco;;;5.8
591.013.069;Marco 2 Euro-Design Slide Bco-Ant L/Bco Pres. 5,8 m.;Marco;;Euro-Design Slide Bco-Ant L/Bco;5.8
591.013.059;Marco 2 Euro-Design Slide Mar-B.Brow/B.Brow Pres. 5,8 m.;Marco;;Euro-Design Slide Mar-B.Brow/B.Brow;5.8
591.013.060;Marco 2 Euro-Design Slide Bco-Bco/B.Brow Pres. 5,8 m.;Marco;;Euro-Design Slide Bco-Bco/B.Brow;5.8
591.013.061;Marco 2 Euro-Design Slide Bco-B.Brow/Bco Pres. 5,8 m.;Marco;;Euro-Design Slide Bco-B.Brow/Bco;5.8
591.013.075;Marco 2 Euro-Design Slide Mar-Win/Win Pres. 5,8 m.;Marco;;Euro-Design Slide Mar-Win/Win;5.8
591.013.057;Marco 2 Euro-Design Slide Bco-Bco/Win Pres. 5,8 m.;Marco;;Euro-Design Slide Bco-Bco/Win;5.8
591.013.058;Marco 2 Euro-Design Slide Bco-Win/Bco Pres. 5,8 m.;Marco;;Euro-Design Slide Bco-Win/Bco;5.8
591.013.037;Marco 2 Euro-Design Slide Mar-Mon/Mon Pres. 5,8 m.;Marco;;Euro-Design Slide Mar-Mon/Mon;5.8
591.013.034;Marco 2 Euro-Design Slide Bco-Bco/Mon Pres. 5,8 m.;Marco;;Euro-Design Slide Bco-Bco/Mon;5.8
591.013.036;Marco 2 Euro-Design Slide Bco-Mon/Bco Pres. 5,8 m.;Marco;;Euro-Design Slide Bco-Mon/Bco;5.8
591.013.039;Marco 2 Euro-Design Slide Mar-Negro M./Negro M. Pres. 5,8 m.;Marco;;Euro-Design Slide Mar-Negro M./Negro M.;5.8
591.013.040;Marco 2 Euro-Design Slide Bco-Bco/Negro M. Pres. 5,8 m.;Marco;;Euro-Design Slide Bco-Bco/Negro M.;5.8
591.013.041;Marco 2 Euro-Design Slide Bco-Negro M./Bco Pres. 5,8 m.;Marco;;Euro-Design Slide Bco-Negro M./Bco;5.8
591.013.077;Marco 2 Euro-Design Slide Mar-Turn/Turn Pres. 5,8 m.;Marco;;Euro-Design Slide Mar-Turn/Turn;5.8
591.013.047;Marco 2 Euro-Design Slide Bco-Bco/Turn Pres. 5,8 m.;Marco;;Euro-Design Slide Bco-Bco/Turn;5.8
591.013.048;Marco 2 Euro-Design Slide Bco-Turn/Bco Pres. 5,8 m.;Marco;;Euro-Design Slide Bco-Turn/Bco;5.8
591.013.049;Marco 2 Euro-Design Slide Bco-Sheff A./Sheff A. Pres. 5,8 m.;Marco;;Euro-Design Slide Bco-Sheff A./Sheff A.;5.8
591.013.045;Marco 2 Euro-Design Slide Bco-Bco/Sheff A. Pres. 5,8 m.;Marco;;Euro-Design Slide Bco-Bco/Sheff A.;5.8
591.013.046;Marco 2 Euro-Design Slide Bco-Sheff A./Bco Pres. 5,8 m.;Marco;;Euro-Design Slide Bco-Sheff A./Bco;5.8
591.013.053;Marco 2 Euro-Design Slide Mar-Hab/Hab Pres. 5,8 m.;Marco;;Euro-Design Slide Mar-Hab/Hab;5.8
591.013.055;Marco 2 Euro-Design Slide Bco-Bco/Hab Pres. 5,8 m.;Marco;;Euro-Design Slide Bco-Bco/Hab;5.8
591.013.054;Marco 2 Euro-Design Slide Bco-Hab/Bco Pres. 5,8 m.;Marco;;Euro-Design Slide Bco-Hab/Bco;5.8
591.013.050;Marco 2 Euro-Design Slide Mar-Tit/Tit Pres. 5,8 m.;Marco;;Euro-Design Slide Mar-Tit/Tit;5.8
591.013.051;Marco 2 Euro-Design Slide Bco-Bco/Tit Pres. 5,8 m.;Marco;;Euro-Design Slide Bco-Bco/Tit;5.8
591.013.052;Marco 2 Euro-Design Slide Bco-Tit/Bco Pres. 5,8 m.;Marco;;Euro-Design Slide Bco-Tit/Bco;5.8
591.013.089;Marco 2 Euro-Design Slide Mar-Ant M/Ant. M Pres. 5,8 m.;Marco;;Euro-Design Slide Mar-Ant M/Ant. M;5.8
591.013.090;Marco 2 Euro-DesignSlide Bco-Bco/Ant M Pres. 5,8m.;Marco;;Euro-DesignSlide Bco-Bco/Ant M;5.8
591.013.091;Marco 2 Euro-DesignSlide Bco-Ant M/Bco Pres. 5,8m.;Marco;;Euro-DesignSlide Bco-Ant M/Bco;5.8
591.013.092;Marco 2 Euro-Design Slide Mar-Black S/Black S Pres. 5,8 m.;Marco;;Euro-Design Slide Mar-Black S/Black S;5.8
591.013.093;Marco 2 Euro-DesignSlide Bco-Bco/Black S Pres. 5,8m.;Marco;;Euro-DesignSlide Bco-Bco/Black S;5.8
591.013.094;Marco 2 Euro-DesignSlide Bco-Black S/Bco Pres. 5,8m.;Marco;;Euro-DesignSlide Bco-Black S/Bco;5.8
591.013.083;Marco 2 Euro-Design Slide Mar-Nut/Nut Pres. 5,8 m.;Marco;;Euro-Design Slide Mar-Nut/Nut;5.8
591.013.084;Marco 2 Euro-DesignSlide Bco-Bco/Nut Pres. 5,8m.;Marco;;Euro-DesignSlide Bco-Bco/Nut;5.8
591.013.085;Marco 2 Euro-DesignSlide Bco-Nut/Bco Pres. 5,8m.;Marco;;Euro-DesignSlide Bco-Nut/Bco;5.8
591.013.086;Marco 2 Euro-Design Slide Mar-Qrz/Qrz Pres. 5,8 m.;Marco;;Euro-Design Slide Mar-Qrz/Qrz;5.8
591.013.087;Marco 2 Euro-DesignSlide Bco-Bco/Qrz Pres. 5,8m.;Marco;;Euro-DesignSlide Bco-Bco/Qrz;5.8
591.013.088;Marco 2 Euro-DesignSlide Bco-Qrz/Bco Pres. 5,8m.;Marco;;Euro-DesignSlide Bco-Qrz/Bco;5.8
500.025.100;Marco 3 Euro-Design Slide Blanco Pres. 5,8 m.;Marco;;Euro-Design Slide Blanco;5.8
510.025.031;Marco 3 Euro-Design Slide Mar-Rob/Rob Pres. 5,8 m.;Marco;;Euro-Design Slide Mar-Rob/Rob;5.8
510.025.025;Marco 3 Euro-Design Slide Bco-Bco/Rob Pres. 5,8 m.;Marco;;Euro-Design Slide Bco-Bco/Rob;5.8
510.025.026;Marco 3 Euro-Design Slide Bco-Rob/Bco Pres. 5,8 m.;Marco;;Euro-Design Slide Bco-Rob/Bco;5.8
510.025.032;Marco 3 Euro-Design Slide Mar-Nog/Nog  Pres. 5,8 m.;Marco;;Euro-Design Slide Mar-Nog/Nog;5.8
510.025.020;Marco 3 Euro-Design Slide Bco-Bco/Nog  Pres. 5,8 m.;Marco;;Euro-Design Slide Bco-Bco/Nog;5.8
510.025.021;Marco 3 Euro-Design Slide Bco-Nog/Bco  Pres. 5,8 m.;Marco;;Euro-Design Slide Bco-Nog/Bco;5.8
510.025.044;Marco 3 Euro-Design Slide Mar-Ant L/Ant L  Pres. 5,8 m.;Marco;;Euro-Design Slide Mar-Ant L/Ant L;5.8
510.025.027;Marco 3 Euro-Design Slide Bco-Bco/Ant L  Pres. 5,8 m.;Marco;;Euro-Design Slide Bco-Bco/Ant L;5.8
510.025.029;Marco 3 Euro-Design Slide Bco-Ant L/Bco  Pres. 5,8 m.;Marco;;Euro-Design Slide Bco-Ant L/Bco;5.8
510.025.036;Marco 3 Euro-Design Slide Mar-B.Brow/B.Brow  Pres. 5,8 m.;Marco;;Euro-Design Slide Mar-B.Brow/B.Brow;5.8
510.025.018;Marco 3 Euro-Design Slide Bco-Bco/B.Brow  Pres. 5,8 m.;Marco;;Euro-Design Slide Bco-Bco/B.Brow;5.8
510.025.019;Marco 3 Euro-Design Slide Bco-B.Brow/Bco  Pres. 5,8 m.;Marco;;Euro-Design Slide Bco-B.Brow/Bco;5.8
510.025.037;Marco 3 Euro-Design Slide Mar-Win/Win Pres. 5,8 m.;Marco;;Euro-Design Slide Mar-Win/Win;5.8
510.025.016;Marco 3 Euro-Design Slide Bco-Bco/Win Pres. 5,8 m.;Marco;;Euro-Design Slide Bco-Bco/Win;5.8
510.025.017;Marco 3 Euro-Design Slide Bco-Win/Bco Pres. 5,8 m.;Marco;;Euro-Design Slide Bco-Win/Bco;5.8
510.025.038;Marco 3 Euro-Design Slide Mar-Mon/Mon Pres. 5,8 m.;Marco;;Euro-Design Slide Mar-Mon/Mon;5.8
510.025.003;Marco 3 Euro-Design Slide Bco-Bco/Mon Pres. 5,8 m.;Marco;;Euro-Design Slide Bco-Bco/Mon;5.8
510.025.002;Marco 3 Euro-Design Slide Bco-Mon/Bco Pres. 5,8 m.;Marco;;Euro-Design Slide Bco-Mon/Bco;5.8
510.025.039;Marco 3 Euro-Design Slide Mar-Negro M./Negro M. Pres. 5,8 m.;Marco;;Euro-Design Slide Mar-Negro M./Negro M.;5.8
510.025.004;Marco 3 Euro-Design Slide Bco-Bco/Negro M. Pres. 5,8 m.;Marco;;Euro-Design Slide Bco-Bco/Negro M.;5.8
510.025.005;Marco 3 Euro-Design Slide Bco-Negro M./Bco Pres. 5,8 m.;Marco;;Euro-Design Slide Bco-Negro M./Bco;5.8
510.025.040;Marco 3 EuroDesign-Slide Mar-Turn/Turn Pres. 5,8 m.;Marco;;EuroDesign-Slide Mar-Turn/Turn;5.8
510.025.009;Marco 3 EuroDesign-Slide Bco-Bco/Turn Pres. 5,8 m.;Marco;;EuroDesign-Slide Bco-Bco/Turn;5.8
510.025.010;Marco 3 EuroDesign-Slide Bco-Turn/Bco Pres. 5,8 m.;Marco;;EuroDesign-Slide Bco-Turn/Bco;5.8
510.025.041;Marco 3 EuroDesign-Slide Bco-Sheff A./Sheff A. Pres. 5,8 m.;Marco;;EuroDesign-Slide Bco-Sheff A./Sheff A.;5.8
510.025.007;Marco 3 EuroDesign-Slide Bco-Bco/Sheff A. Pres. 5,8 m.;Marco;;EuroDesign-Slide Bco-Bco/Sheff A.;5.8
510.025.008;Marco 3 EuroDesign-Slide Bco-Sheff A./Bco Pres. 5,8 m.;Marco;;EuroDesign-Slide Bco-Sheff A./Bco;5.8
510.025.042;Marco 3 Euro-Design Slide Mar-Hab/Hab Pres. 5,8 m.;Marco;;Euro-Design Slide Mar-Hab/Hab;5.8
510.025.015;Marco 3 Euro-Design Slide Bco-Bco/Hab Pres. 5,8 m.;Marco;;Euro-Design Slide Bco-Bco/Hab;5.8
510.025.014;Marco 3 Euro-Design Slide Bco-Hab/Bco Pres. 5,8 m.;Marco;;Euro-Design Slide Bco-Hab/Bco;5.8
510.025.043;Marco 3 Euro-Design Slide Mar-Tit/Tit Pres. 5,8 m.;Marco;;Euro-Design Slide Mar-Tit/Tit;5.8
510.025.011;Marco 3 Euro-Design Slide Bco-Bco/Tit Pres. 5,8 m.;Marco;;Euro-Design Slide Bco-Bco/Tit;5.8
510.025.012;Marco 3 Euro-Design Slide Bco-Tit/Bco Pres. 5,8 m.;Marco;;Euro-Design Slide Bco-Tit/Bco;5.8
510.025.058;Marco 3 Euro-Design Slide Mar-Ant M/Ant M  Pres. 5,8 m.;Marco;;Euro-Design Slide Mar-Ant M/Ant M;5.8
510.025.059;Marco 3 Euro-Design Slide Bco-Bco/Ant M Pres. 5,8 m.;Marco;;Euro-Design Slide Bco-Bco/Ant M;5.8
510.025.060;Marco 3 Euro-Design Slide Bco-Ant M/Bco  Pres. 5,8 m.;Marco;;Euro-Design Slide Bco-Ant M/Bco;5.8
510.025.061;Marco 3 Euro-Design Slide Mar-Black S/Black S  Pres. 5,8 m.;Marco;;Euro-Design Slide Mar-Black S/Black S;5.8
510.025.062;Marco 3 Euro-Design Slide Bco-Bco/Black S Pres. 5,8 m.;Marco;;Euro-Design Slide Bco-Bco/Black S;5.8
510.025.063;Marco 3 Euro-Design Slide Bco-Black S/Bco  Pres. 5,8 m.;Marco;;Euro-Design Slide Bco-Black S/Bco;5.8
510.025.052;Marco 3 Euro-Design Slide Mar-Nut/Nut  Pres. 5,8 m.;Marco;;Euro-Design Slide Mar-Nut/Nut;5.8
510.025.053;Marco 3 Euro-Design Slide Bco-Bco/Nut Pres. 5,8 m.;Marco;;Euro-Design Slide Bco-Bco/Nut;5.8
510.025.054;Marco 3 Euro-Design Slide Bco-Nut/Bco  Pres. 5,8 m.;Marco;;Euro-Design Slide Bco-Nut/Bco;5.8
510.025.055;Marco 3 Euro-Design Slide Mar-Qrz/Qrz  Pres. 5,8 m.;Marco;;Euro-Design Slide Mar-Qrz/Qrz;5.8
510.025.056;Marco 3 Euro-Design Slide Bco-Bco/Qrz Pres. 5,8 m.;Marco;;Euro-Design Slide Bco-Bco/Qrz;5.8
510.025.057;Marco 3 Euro-Design Slide Bco-Qrz/Bco  Pres. 5,8 m.;Marco;;Euro-Design Slide Bco-Qrz/Bco;5.8
500.343.100;Marco N3 Euro-Design Slide Blanco Pres. 5,8 m.;Marco N;;Euro-Design Slide Blanco;5.8
510.343.187;Marco N3 Euro-Design Slide Mar-Rob/Rob Pres. 5,8 m.;Marco N;;Euro-Design Slide Mar-Rob/Rob;5.8
510.343.147;Marco N3 Euro-Design Slide Bco-Bco/Rob Pres. 5,8 m.;Marco N;;Euro-Design Slide Bco-Bco/Rob;5.8
510.343.148;Marco N3 Euro-Design Slide Bco-Rob/Bco Pres. 5,8 m.;Marco N;;Euro-Design Slide Bco-Rob/Bco;5.8
510.343.143;Marco N3 Euro-Design Slide Mar-Nog/Nog Pres. 5,8 m.;Marco N;;Euro-Design Slide Mar-Nog/Nog;5.8
510.343.144;Marco N3 Euro-Design Slide Bco-Bco/Nog Pres. 5,8 m.;Marco N;;Euro-Design Slide Bco-Bco/Nog;5.8
510.343.145;Marco N3 Euro-Design Slide Bco-Nog/Bco Pres. 5,8 m.;Marco N;;Euro-Design Slide Bco-Nog/Bco;5.8
510.343.195;Marco N3 Euro-Design Slide Mar-Ant L/Ant L Pres. 5,8 m.;Marco N;;Euro-Design Slide Mar-Ant L/Ant L;5.8
510.343.149;Marco N3 Euro-Design Slide Bco-Bco/Ant L Pres. 5,8 m.;Marco N;;Euro-Design Slide Bco-Bco/Ant L;5.8
510.343.178;Marco N3 Euro-Design Slide Bco-Ant L/Bco Pres. 5,8 m.;Marco N;;Euro-Design Slide Bco-Ant L/Bco;5.8
510.343.119;Marco N3 Euro-Design Slide Mar-B.Brow/B.Brow Pres. 5,8 m.;Marco N;;Euro-Design Slide Mar-B.Brow/B.Brow;5.8
510.343.139;Marco N3 Euro-Design Slide Bco-Bco/B.Brow Pres. 5,8 m.;Marco N;;Euro-Design Slide Bco-Bco/B.Brow;5.8
510.343.142;Marco N3 Euro-Design Slide Bco-B.Brow/Bco Pres. 5,8 m.;Marco N;;Euro-Design Slide Bco-B.Brow/Bco;5.8
510.343.188;Marco N3 Euro-Design Slide Mar-Win/Win Pres. 5,8 m.;Marco N;;Euro-Design Slide Mar-Win/Win;5.8
510.343.117;Marco N3 Euro-Design Slide Bco-Bco/Win Pres. 5,8 m.;Marco N;;Euro-Design Slide Bco-Bco/Win;5.8
510.343.118;Marco N3 Euro-Design Slide Bco-Win/Bco Pres. 5,8 m.;Marco N;;Euro-Design Slide Bco-Win/Bco;5.8
510.343.088;Marco N3 Euro-Design Slide Mar-Mon/Mon Pres. 5,8 m.;Marco N;;Euro-Design Slide Mar-Mon/Mon;5.8
510.343.085;Marco N3 Euro-Design Slide Bco-Bco/Mon Pres. 5,8 m.;Marco N;;Euro-Design Slide Bco-Bco/Mon;5.8
510.343.087;Marco N3 Euro-Design Slide Bco-Mon/Bco Pres. 5,8 m.;Marco N;;Euro-Design Slide Bco-Mon/Bco;5.8
510.343.091;Marco N3 Euro-Design Slide Mar-Negro M./Negro M. Pres. 5,8 m.;Marco N;;Euro-Design Slide Mar-Negro M./Negro M.;5.8
510.343.092;Marco N3 Euro-Design Slide Bco-Bco/Negro M. Pres. 5,8 m.;Marco N;;Euro-Design Slide Bco-Bco/Negro M.;5.8
510.343.093;Marco N3 Euro-Design Slide Bco-Negro M./Bco Pres. 5,8 m.;Marco N;;Euro-Design Slide Bco-Negro M./Bco;5.8
510.343.104;Marco N3 Euro-Design Slide Mar-Turn/Turn Pres 5,8 m.;Marco N;;Euro-Design Slide Mar-Turn/Turn;5.8
510.343.105;Marco N3 Euro-Design Slide Bco-Bco/Turn Pres 5,8 m.;Marco N;;Euro-Design Slide Bco-Bco/Turn;5.8
510.343.106;Marco N3 Euro-Design Slide Bco-Turn/Bco Pres. 5,8 m.;Marco N;;Euro-Design Slide Bco-Turn/Bco;5.8
510.343.107;Marco N3 Euro-Design Slide Bco-Sheff A./Sheff A. Pres. 5,8 m.;Marco N;;Euro-Design Slide Bco-Sheff A./Sheff A.;5.8
510.343.102;Marco N3 Euro-Design Slide Bco-Bco/Sheff A. Pres 5,8 m.;Marco N;;Euro-Design Slide Bco-Bco/Sheff A.;5.8
510.343.103;Marco N3 Euro-Design Slide Bco-Sheff A./Bco Pres. 5,8 m.;Marco N;;Euro-Design Slide Bco-Sheff A./Bco;5.8
510.343.113;Marco N3 Euro-Design Slide Mar-Hab/Hab Pres. 5,8 m.;Marco N;;Euro-Design Slide Mar-Hab/Hab;5.8
510.343.115;Marco N3 Euro-Design Slide Bco-Bco/Hab Pres. 5,8 m.;Marco N;;Euro-Design Slide Bco-Bco/Hab;5.8
510.343.114;Marco N3 Euro-Design Slide Bco-Hab/Bco Pres. 5,8 m.;Marco N;;Euro-Design Slide Bco-Hab/Bco;5.8
510.343.110;Marco N3 Euro-Design Slide Mar-Tit/Tit Pres. 5,8 m.;Marco N;;Euro-Design Slide Mar-Tit/Tit;5.8
510.343.111;Marco N3 Euro-Design Slide Bco-Bco/Tit Pres. 5,8 m.;Marco N;;Euro-Design Slide Bco-Bco/Tit;5.8
510.343.112;Marco N3 Euro-Design Slide Bco-Tit/Bco Pres. 5,8 m.;Marco N;;Euro-Design Slide Bco-Tit/Bco;5.8
510.343.209;Marco N3 Euro-Design Slide Mar-Ant M/Ant M Pres. 5,8m.;Marco N;;Euro-Design Slide Mar-Ant M/Ant M;5.8
510.343.210;Marco N3 Euro-Design Slide Bco-Bco/Ant M Pres. 5,8m.;Marco N;;Euro-Design Slide Bco-Bco/Ant M;5.8
510.343.211;Marco N3 Euro-Design Slide Bco-Ant M/Bco Pres. 5,8m.;Marco N;;Euro-Design Slide Bco-Ant M/Bco;5.8
510.343.212;Marco N3 Euro-Design Slide Mar-Black S/Black S Pres. 5,8m.;Marco N;;Euro-Design Slide Mar-Black S/Black S;5.8
510.343.213;Marco N3 Euro-Design Slide Bco-Bco/Black S Pres. 5,8m.;Marco N;;Euro-Design Slide Bco-Bco/Black S;5.8
510.343.214;Marco N3 Euro-Design Slide Bco-Black S/Bco Pres. 5,8m.;Marco N;;Euro-Design Slide Bco-Black S/Bco;5.8
510.343.202;Marco N3 Euro-Design Slide Mar-Nut/Nut Pres. 5,8m.;Marco N;;Euro-Design Slide Mar-Nut/Nut;5.8
510.343.204;Marco N3 Euro-Design Slide Bco-Bco/Nut Pres. 5,8m.;Marco N;;Euro-Design Slide Bco-Bco/Nut;5.8
510.343.205;Marco N3 Euro-Design Slide Bco-Nut/Bco Pres. 5,8m.;Marco N;;Euro-Design Slide Bco-Nut/Bco;5.8
510.343.206;Marco N3 Euro-Design Slide Mar-Qrz/Qrz Pres. 5,8m.;Marco N;;Euro-Design Slide Mar-Qrz/Qrz;5.8
510.343.207;Marco N3 Euro-Design Slide Bco-Bco/Qrz Pres. 5,8m.;Marco N;;Euro-Design Slide Bco-Bco/Qrz;5.8
510.343.208;Marco N3 Euro-Design Slide Bco-Qrz/Bco Pres. 5,8m.;Marco N;;Euro-Design Slide Bco-Qrz/Bco;5.8
500.353.100;Travesano N1 Euro-Design Slide Blanco Pres. 5,8 m.;Travesano N;;Euro-Design Slide Blanco;5.8
510.353.078;Travesano N1 Euro-Design Slide Mar-Rob/Rob Pres. 5,8 m.;Travesano N;;Euro-Design Slide Mar-Rob/Rob;5.8
510.353.070;Travesano N1 Euro-Design Slide Bco-Bco/Rob Pres. 5,8 m.;Travesano N;;Euro-Design Slide Bco-Bco/Rob;5.8
